timestamp,RPM,SPEED,THROTTLE_POS,ENGINE_LOAD,COOLANT_TEMP,INTAKE_TEMP,MAF,FUEL_LEVEL
2025-04-11 18:13:28,790.5 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,26.274509803921568 percent,93 degree_Celsius,45 degree_Celsius,12.58 gps,N/A
2025-04-11 18:13:30,790.0 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,27.45098039215686 percent,93 degree_Celsius,45 degree_Celsius,12.22 gps,N/A
2025-04-11 18:13:32,792.0 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,27.058823529411764 percent,93 degree_Celsius,45 degree_Celsius,12.08 gps,N/A
2025-04-11 18:13:35,791.5 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,27.058823529411764 percent,94 degree_Celsius,45 degree_Celsius,12.44 gps,N/A
2025-04-11 18:13:37,791.0 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,27.058823529411764 percent,94 degree_Celsius,45 degree_Celsius,12.3 gps,N/A
2025-04-11 18:13:39,790.0 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,27.45098039215686 percent,93 degree_Celsius,45 degree_Celsius,12.69 gps,N/A
2025-04-11 18:13:42,789.0 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,27.45098039215686 percent,94 degree_Celsius,45 degree_Celsius,12.55 gps,N/A
2025-04-11 18:13:44,792.0 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,27.45098039215686 percent,94 degree_Celsius,45 degree_Celsius,11.99 gps,N/A
2025-04-11 18:13:46,791.0 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,26.274509803921568 percent,94 degree_Celsius,45 degree_Celsius,12.63 gps,N/A
2025-04-11 18:13:49,831.0 revolutions_per_minute,0.0 kilometer_per_hour,1.5686274509803921 percent,25.49019607843137 percent,94 degree_Celsius,45 degree_Celsius,14.13 gps,N/A
2025-04-11 18:13:51,871.0 revolutions_per_minute,0.0 kilometer_per_hour,7.450980392156863 percent,29.80392156862745 percent,94 degree_Celsius,45 degree_Celsius,14.86 gps,N/A
2025-04-11 18:13:53,1262.5 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,4.705882352941177 percent,94 degree_Celsius,45 degree_Celsius,11.74 gps,N/A
