timestamp,SPEED(km/h),MAF(g/s),CO2(g),CO2 ´©Àû(g),PPM/sec
2025-05-22 17:08:57,0.0,13.52,0,0.0,0
2025-05-22 17:08:58,0.0,13.47,3.0668,3.07,289.49
2025-05-22 17:09:00,0.0,13.33,3.0377,6.1,286.48
2025-05-22 17:09:01,0.0,13.38,3.0518,9.16,287.56
2025-05-22 17:09:02,0.0,13.08,2.9856,12.14,281.11
2025-05-22 17:09:03,0.0,13.3,3.0284,15.17,285.84
2025-05-22 17:09:04,0.0,13.41,3.0928,18.26,288.2
2025-05-22 17:09:05,0.0,13.24,3.0195,21.28,284.55
2025-05-22 17:09:06,0.0,13.22,3.016,24.3,284.12
2025-05-22 17:09:07,0.0,13.38,3.0538,27.35,287.56
2025-05-22 17:09:08,0.0,13.49,3.0702,30.42,289.92
2025-05-22 17:09:09,0.0,13.02,2.999,33.42,279.82
2025-05-22 17:09:10,0.0,12.97,2.9789,36.4,278.75
2025-05-22 17:09:11,0.0,13.05,2.98,39.38,280.47
2025-05-22 17:09:13,0.0,13.44,3.0603,42.44,288.85
2025-05-22 17:09:14,1.0,14.47,3.2983,45.74,310.99
2025-05-22 17:09:15,1.0,15.08,3.4407,49.18,324.1
2025-05-22 17:09:16,3.0,16.72,3.8111,52.99,359.34
2025-05-22 17:09:17,3.0,13.05,2.9753,55.97,280.47
2025-05-22 17:09:18,4.0,13.36,3.0457,59.01,287.13
2025-05-22 17:09:19,4.0,13.33,3.0388,62.05,286.48
2025-05-22 17:09:20,2.0,13.47,3.0757,65.13,289.49
2025-05-22 17:09:21,0.0,13.16,3.0025,68.13,282.83
2025-05-22 17:09:22,0.0,14.55,3.3133,71.44,312.7
2025-05-22 17:09:23,1.0,13.36,3.0808,74.52,287.13
2025-05-22 17:09:24,2.0,13.97,3.2019,77.72,300.24
2025-05-22 17:09:26,3.0,17.22,3.9692,81.69,370.09
2025-05-22 17:09:27,6.0,17.94,4.0888,85.78,385.56
2025-05-22 17:09:28,6.0,7.38,1.6833,87.47,158.61
2025-05-22 17:09:29,7.0,9.63,2.1969,89.66,206.97
2025-05-22 17:09:30,9.0,10.49,2.3909,92.05,225.45
2025-05-22 17:09:31,9.0,6.16,1.4046,93.46,132.39
2025-05-22 17:09:32,9.0,6.08,1.3867,94.85,130.67
2025-05-22 17:09:33,8.0,6.19,1.4112,96.26,133.03
2025-05-22 17:09:34,7.0,6.2700000000000005,1.4301,97.69,134.75
2025-05-22 17:09:35,7.0,6.33,1.4421,99.13,136.04
2025-05-22 17:09:36,7.0,6.33,1.4441,100.57,136.04
2025-05-22 17:09:37,7.0,6.38,1.455,102.03,137.12
2025-05-22 17:09:38,7.0,6.33,1.4422,103.47,136.04
2025-05-22 17:09:40,8.0,6.36,1.4513,104.92,136.69
2025-05-22 17:09:41,10.0,25.94,5.916,110.84,557.5
2025-05-22 17:09:42,15.0,32.83,7.4834,118.32,705.57
2025-05-22 17:09:43,19.0,36.83,8.3936,126.71,791.54
2025-05-22 17:09:44,24.0,30.11,6.8671,133.58,647.12
2025-05-22 17:09:45,28.0,33.27,7.5847,141.17,715.03
2025-05-22 17:09:46,31.0,32.19,7.3426,148.51,691.82
2025-05-22 17:09:47,36.0,34.44,7.848,156.36,740.17
2025-05-22 17:09:48,40.0,20.990000000000002,4.7873,161.14,451.11
2025-05-22 17:09:49,40.0,13.27,3.0277,164.17,285.2
2025-05-22 17:09:50,41.0,14.49,3.308,167.48,311.41
2025-05-22 17:09:51,38.0,10.13,2.3079,169.79,217.71
2025-05-22 17:09:53,32.0,8.36,1.9065,171.69,179.67
2025-05-22 17:09:54,27.0,5.94,1.3532,173.05,127.66
2025-05-22 17:09:55,21.0,6.05,1.381,174.43,130.02
2025-05-22 17:09:56,18.0,6.24,1.4208,175.85,134.11
2025-05-22 17:09:57,17.0,6.3,1.4373,177.29,135.4
2025-05-22 17:09:58,17.0,6.33,1.4448,178.73,136.04
2025-05-22 17:09:59,17.0,6.55,1.4916,180.22,140.77
2025-05-22 17:10:00,17.0,18.55,4.2339,184.46,398.67
2025-05-22 17:10:01,18.0,16.86,3.8406,188.3,362.35
2025-05-22 17:10:02,19.0,7.08,1.6147,189.91,152.16
2025-05-22 17:10:03,19.0,20.8,4.7417,194.65,447.03
2025-05-22 17:10:04,21.0,22.8,5.2026,199.86,490.01
2025-05-22 17:10:05,23.0,24.72,5.6357,205.49,531.28
2025-05-22 17:10:07,25.0,25.77,5.8771,211.37,553.84
2025-05-22 17:10:08,28.0,29.19,6.6483,218.02,627.34
2025-05-22 17:10:09,30.0,28.44,6.4847,224.5,611.22
2025-05-22 17:10:10,33.0,32.19,7.3433,231.85,691.82
2025-05-22 17:10:11,34.0,16.8,3.8349,235.68,361.06
2025-05-22 17:10:12,35.0,22.16,5.0476,240.73,476.26
2025-05-22 17:10:13,36.0,25.740000000000002,5.8713,246.6,553.2
2025-05-22 17:10:14,38.0,27.88,6.3534,252.95,599.19
2025-05-22 17:10:15,39.0,26.3,6.0011,258.95,565.23
2025-05-22 17:10:16,40.0,23.38,5.3297,264.28,502.48
2025-05-22 17:10:17,41.0,21.990000000000002,5.0146,269.3,472.6
2025-05-22 17:10:18,41.0,21.72,4.9546,274.25,466.8
2025-05-22 17:10:20,41.0,6.66,1.5178,275.77,143.13
2025-05-22 17:10:21,41.0,19.61,4.4745,280.24,421.45
2025-05-22 17:10:22,42.0,20.330000000000002,4.6311,284.88,436.93
2025-05-22 17:10:23,42.0,18.69,4.2638,289.14,401.68
2025-05-22 17:10:24,43.0,21.16,4.8509,293.99,454.76
2025-05-22 17:10:25,43.0,12.36,2.8356,296.83,265.64
2025-05-22 17:10:26,41.0,11.11,2.5441,299.37,238.77
2025-05-22 17:10:27,37.0,8.72,1.9889,301.36,187.41
2025-05-22 17:10:28,31.0,10.72,2.4462,303.81,230.39
2025-05-22 17:10:29,26.0,8.88,2.0248,305.83,190.85
2025-05-22 17:10:30,21.0,5.8,1.3226,307.15,124.65
2025-05-22 17:10:31,20.0,6.3,1.4362,308.59,135.4
2025-05-22 17:10:32,19.0,6.55,1.4944,310.08,140.77
2025-05-22 17:10:34,18.0,11.41,2.6,312.68,245.22
2025-05-22 17:10:35,18.0,16.47,3.7979,316.48,353.97
2025-05-22 17:10:36,18.0,19.990000000000002,4.5826,321.06,429.62
2025-05-22 17:10:37,18.0,24.05,5.5123,326.58,516.88
2025-05-22 17:10:38,19.0,29.27,6.7137,333.29,629.06
2025-05-22 17:10:39,20.0,29.02,6.6132,339.9,623.69
2025-05-22 17:10:40,21.0,29.88,6.8116,346.71,642.17
2025-05-22 17:10:41,21.0,33.660000000000004,7.6734,354.39,723.41
2025-05-22 17:10:42,22.0,37.74,8.6073,363.0,811.1
2025-05-22 17:10:43,24.0,39.44,8.9925,371.99,847.63
2025-05-22 17:10:44,26.0,39.44,8.9946,380.98,847.63
2025-05-22 17:10:45,28.0,38.97,8.8968,389.88,837.53
2025-05-22 17:10:47,30.0,30.61,6.988,396.87,657.86
2025-05-22 17:10:48,33.0,35.47,8.0818,404.95,762.31
2025-05-22 17:10:49,36.0,39.88,9.0869,414.04,857.09
2025-05-22 17:10:50,39.0,42.19,9.6184,423.65,906.74
2025-05-22 17:10:51,41.0,29.86,6.808,430.46,641.74
2025-05-22 17:10:52,41.0,30.05,6.8516,437.31,645.83
2025-05-22 17:10:53,42.0,30.27,6.9034,444.22,650.55
2025-05-22 17:10:54,43.0,27.3,6.2241,450.44,586.72
2025-05-22 17:10:55,43.0,20.16,4.5976,455.04,433.27
2025-05-22 17:10:56,42.0,22.86,5.2085,460.25,491.3
2025-05-22 17:10:57,42.0,25.080000000000002,5.7214,465.97,539.01
2025-05-22 17:10:58,43.0,24.47,5.5775,471.55,525.9
2025-05-22 17:11:00,44.0,25.94,5.9169,477.46,557.5
2025-05-22 17:11:01,45.0,22.740000000000002,5.1805,482.64,488.72
2025-05-22 17:11:02,46.0,17.41,3.9751,486.62,374.17
2025-05-22 17:11:03,47.0,22.61,5.1526,491.77,485.93
2025-05-22 17:11:04,48.0,17.330000000000002,3.9499,495.72,372.45
2025-05-22 17:11:05,49.0,23.86,5.4405,501.16,512.79
2025-05-22 17:11:06,50.0,27.11,6.1789,507.34,582.64
2025-05-22 17:11:07,51.0,16.61,3.7882,511.13,356.98
2025-05-22 17:11:08,50.0,15.52,3.5401,514.67,333.55
2025-05-22 17:11:09,50.0,19.080000000000002,4.3524,519.02,410.06
2025-05-22 17:11:10,51.0,28.44,6.4801,525.5,611.22
2025-05-22 17:11:11,53.0,33.160000000000004,7.5639,533.07,712.67
2025-05-22 17:11:12,56.0,45.88,10.4572,543.52,986.04
2025-05-22 17:11:14,60.0,52.13,11.8885,555.41,1120.36
2025-05-22 17:11:15,63.0,63.86,14.5655,569.98,1372.46
2025-05-22 17:11:16,66.0,55.27,12.5977,582.57,1187.85
2025-05-22 17:11:17,69.0,47.08,10.7375,593.31,1011.83
2025-05-22 17:11:18,71.0,52.33,11.9356,605.25,1124.66
2025-05-22 17:11:19,73.0,51.33,11.7068,616.95,1103.17
2025-05-22 17:11:20,76.0,54.61,12.4535,629.41,1173.66
2025-05-22 17:11:21,78.0,55.800000000000004,12.7169,642.12,1199.24
2025-05-22 17:11:22,79.0,57.27,13.0596,655.18,1230.83
2025-05-22 17:11:23,81.0,58.83,13.4236,668.61,1264.36
2025-05-22 17:11:24,82.0,59.52,13.5724,682.18,1279.19
2025-05-22 17:11:25,84.0,59.52,13.5696,695.75,1279.19
2025-05-22 17:11:27,85.0,46.88,10.6777,706.43,1007.53
2025-05-22 17:11:28,85.0,38.800000000000004,8.8567,715.28,833.88
2025-05-22 17:11:29,84.0,41.49,9.458,724.74,891.69
2025-05-22 17:11:30,84.0,40.13,9.2526,733.99,862.46
2025-05-22 17:11:31,84.0,38.61,8.8568,742.85,829.8
2025-05-22 17:11:32,83.0,27.69,6.3131,749.16,595.11
2025-05-22 17:11:33,82.0,27.580000000000002,6.2827,755.45,592.74
2025-05-22 17:11:34,81.0,27.22,6.2099,761.66,585.0
2025-05-22 17:11:35,79.0,27.22,6.2731,767.93,585.0
2025-05-22 17:11:36,78.0,24.05,5.4872,773.42,516.88
2025-05-22 17:11:37,77.0,28.240000000000002,6.4378,779.85,606.93
2025-05-22 17:11:38,76.0,33.36,7.6032,787.46,716.96
2025-05-22 17:11:40,75.0,31.36,7.1529,794.61,673.98
2025-05-22 17:11:41,75.0,34.47,7.8599,802.47,740.82
2025-05-22 17:11:42,74.0,36.86,8.4014,810.87,792.18
2025-05-22 17:11:43,74.0,35.410000000000004,8.0742,818.95,761.02
2025-05-22 17:11:44,74.0,33.94,7.7367,826.68,729.43
2025-05-22 17:11:45,73.0,34.74,7.9182,834.6,746.62
2025-05-22 17:11:46,73.0,27.38,6.2462,840.85,588.44
2025-05-22 17:11:47,73.0,31.44,7.17,848.02,675.7
2025-05-22 17:11:48,72.0,31.69,7.2236,855.24,681.07
2025-05-22 17:11:49,72.0,33.55,7.6558,862.9,721.05
2025-05-22 17:11:50,72.0,33.910000000000004,7.8134,870.71,728.78
2025-05-22 17:11:51,72.0,33.13,7.5988,878.31,712.02
2025-05-22 17:11:52,72.0,33.74,7.6926,886.0,725.13
2025-05-22 17:11:54,71.0,32.99,7.5216,893.52,709.01
2025-05-22 17:11:55,71.0,35.44,8.0841,901.61,761.67
2025-05-22 17:11:56,71.0,34.05,7.7748,909.38,731.79
2025-05-22 17:11:57,72.0,33.52,7.7167,917.1,720.4
2025-05-22 17:11:58,71.0,33.33,7.6848,924.78,716.32
2025-05-22 17:11:59,71.0,32.05,7.3513,932.14,688.81
2025-05-22 17:12:00,71.0,35.300000000000004,8.135,940.27,758.66
2025-05-22 17:12:01,72.0,35.11,8.0029,948.27,754.57
2025-05-22 17:12:02,72.0,36.08,8.3211,956.59,775.42
2025-05-22 17:12:03,72.0,36.19,8.294,964.89,777.79
2025-05-22 17:12:04,71.0,21.47,4.8981,969.79,461.43
2025-05-22 17:12:06,70.0,19.8,4.5138,974.3,425.54
2025-05-22 17:12:07,69.0,21.740000000000002,4.9563,979.26,467.23
2025-05-22 17:12:08,68.0,25.61,5.8398,985.1,550.4
2025-05-22 17:12:09,67.0,28.13,6.4159,991.51,604.56
2025-05-22 17:12:10,67.0,31.990000000000002,7.3007,998.81,687.52
2025-05-22 17:12:11,67.0,30.41,6.9285,1005.74,653.56
2025-05-22 17:12:12,66.0,29.330000000000002,6.6893,1012.43,630.35
2025-05-22 17:12:13,66.0,29.740000000000002,6.7805,1019.21,639.16
2025-05-22 17:12:14,66.0,29.27,6.6759,1025.89,629.06
2025-05-22 17:12:15,66.0,29.13,6.642,1032.53,626.05
2025-05-22 17:12:16,66.0,31.36,7.1435,1039.67,673.98
2025-05-22 17:12:17,66.0,34.410000000000004,7.8471,1047.52,739.53
2025-05-22 17:12:18,66.0,35.49,8.0897,1055.61,762.74
2025-05-22 17:12:20,67.0,35.27,8.045,1063.65,758.01
2025-05-22 17:12:21,67.0,55.660000000000004,12.6853,1076.34,1196.23
2025-05-22 17:12:22,69.0,50.050000000000004,11.4205,1087.76,1075.66
2025-05-22 17:12:23,70.0,52.660000000000004,12.0088,1099.77,1131.75
2025-05-22 17:12:24,72.0,53.33,12.1615,1111.93,1146.15
2025-05-22 17:12:25,73.0,55.77,12.7153,1124.65,1198.59
2025-05-22 17:12:26,75.0,51.86,11.8182,1136.46,1114.56
2025-05-22 17:12:27,75.0,54.19,12.3658,1148.83,1164.64
2025-05-22 17:12:28,76.0,55.160000000000004,12.5785,1161.41,1185.48
2025-05-22 17:12:29,77.0,55.02,12.5445,1173.95,1182.47
2025-05-22 17:12:30,78.0,56.44,12.8663,1186.82,1212.99
2025-05-22 17:12:31,79.0,45.58,10.3914,1197.21,979.59
2025-05-22 17:12:33,79.0,49.83,11.3645,1208.57,1070.93
2025-05-22 17:12:34,79.0,44.33,10.1066,1218.68,952.73
2025-05-22 17:12:35,79.0,39.24,8.9523,1227.63,843.33
2025-05-22 17:12:36,80.0,38.77,8.8364,1236.47,833.23
2025-05-22 17:12:37,80.0,38.24,8.8104,1245.28,821.84
2025-05-22 17:12:38,80.0,37.86,8.678,1253.96,813.68
2025-05-22 17:12:39,80.0,39.550000000000004,9.0211,1262.98,850.0
2025-05-22 17:12:40,80.0,36.77,8.3894,1271.37,790.25
2025-05-22 17:12:41,81.0,37.83,8.6229,1279.99,813.03
2025-05-22 17:12:42,81.0,35.49,8.0951,1288.09,762.74
2025-05-22 17:12:43,81.0,14.99,3.4186,1291.51,322.16
2025-05-22 17:12:44,79.0,12.52,2.8544,1294.36,269.08
2025-05-22 17:12:45,78.0,17.47,3.9801,1298.34,375.46
2025-05-22 17:12:47,77.0,16.86,3.8456,1302.19,362.35
2025-05-22 17:12:48,77.0,20.19,4.6062,1306.79,433.92
2025-05-22 17:12:49,77.0,28.02,6.3845,1313.18,602.2
2025-05-22 17:12:50,77.0,30.86,7.0362,1320.21,663.23
2025-05-22 17:12:51,78.0,33.88,7.7274,1327.94,728.14
2025-05-22 17:12:52,79.0,35.52,8.0957,1336.04,763.39
2025-05-22 17:12:53,80.0,45.13,10.2921,1346.33,969.92
2025-05-22 17:12:54,82.0,44.910000000000004,10.2481,1356.58,965.19
2025-05-22 17:12:55,83.0,54.11,12.3377,1368.91,1162.92
2025-05-22 17:12:56,86.0,55.99,12.7563,1381.67,1203.32
2025-05-22 17:12:57,89.0,57.050000000000004,13.0249,1394.69,1226.1
2025-05-22 17:12:58,91.0,56.11,12.7848,1407.48,1205.9
2025-05-22 17:13:00,93.0,57.550000000000004,13.1162,1420.6,1236.85
2025-05-22 17:13:01,95.0,57.61,13.1408,1433.74,1238.14
2025-05-22 17:13:02,97.0,59.410000000000004,13.5554,1447.29,1276.82
2025-05-22 17:13:03,99.0,61.49,14.0084,1461.3,1321.53
2025-05-22 17:13:04,101.0,64.58,14.73,1476.03,1387.94
2025-05-22 17:13:05,103.0,64.11,14.6123,1490.64,1377.83
2025-05-22 17:13:06,105.0,66.74,15.219,1505.86,1434.36
2025-05-22 17:13:07,107.0,67.47,15.3925,1521.25,1450.05
2025-05-22 17:13:08,109.0,70.44,16.0692,1537.32,1513.88
2025-05-22 17:13:09,110.0,71.88,16.5686,1553.89,1544.82
2025-05-22 17:13:10,112.0,73.97,16.8688,1570.76,1589.74
2025-05-22 17:13:11,114.0,74.61,17.2011,1587.96,1603.5
2025-05-22 17:13:13,116.0,75.66,17.359,1605.32,1626.06
2025-05-22 17:13:14,117.0,67.16,15.303,1620.62,1443.38
2025-05-22 17:13:15,118.0,66.49,15.1615,1635.79,1428.98
2025-05-22 17:13:16,119.0,63.49,14.4722,1650.26,1364.51
2025-05-22 17:13:17,119.0,44.550000000000004,10.1599,1660.42,957.46
2025-05-22 17:13:18,118.0,36.74,8.3783,1668.8,789.61
2025-05-22 17:13:19,117.0,34.49,7.9446,1676.74,741.25
2025-05-22 17:13:20,117.0,38.86,8.9206,1685.66,835.17
2025-05-22 17:13:21,115.0,20.63,4.7043,1690.37,443.37
2025-05-22 17:13:22,113.0,20.05,4.5706,1694.94,430.91
2025-05-22 17:13:23,111.0,19.8,4.5131,1699.45,425.54
2025-05-22 17:13:24,109.0,19.44,4.4301,1703.88,417.8
2025-05-22 17:13:25,106.0,19.16,4.3713,1708.25,411.78
2025-05-22 17:13:27,103.0,18.19,4.1451,1712.4,390.93
2025-05-22 17:13:28,100.0,18.38,4.1955,1716.59,395.02
2025-05-22 17:13:29,98.0,18.330000000000002,4.1777,1720.77,393.94
2025-05-22 17:13:30,96.0,22.240000000000002,5.0714,1725.84,477.98
2025-05-22 17:13:31,95.0,26.88,6.1237,1731.96,577.7
2025-05-22 17:13:32,94.0,29.41,6.7112,1738.68,632.07
2025-05-22 17:13:33,92.0,31.61,7.2036,1745.88,679.35
2025-05-22 17:13:34,91.0,30.86,7.0373,1752.92,663.23
2025-05-22 17:13:35,91.0,30.61,7.0177,1759.93,657.86
2025-05-22 17:13:36,90.0,30.080000000000002,6.8993,1766.83,646.47
2025-05-22 17:13:37,89.0,32.52,7.5011,1774.33,698.91
2025-05-22 17:13:38,88.0,33.36,7.701,1782.04,716.96
2025-05-22 17:13:40,88.0,35.800000000000004,8.1953,1790.23,769.4
2025-05-22 17:13:41,87.0,37.02,8.5335,1798.76,795.62
2025-05-22 17:13:42,87.0,42.08,9.6491,1808.41,904.37
2025-05-22 17:13:43,87.0,43.69,9.9659,1818.38,938.97
2025-05-22 17:13:44,88.0,42.69,9.7343,1828.11,917.48
2025-05-22 17:13:45,88.0,40.36,9.2018,1837.31,867.41
2025-05-22 17:13:46,88.0,22.47,5.1243,1842.44,482.92
2025-05-22 17:13:47,87.0,28.240000000000002,6.4383,1848.88,606.93
2025-05-22 17:13:48,86.0,28.330000000000002,6.4592,1855.34,608.86
2025-05-22 17:13:49,85.0,27.72,6.3168,1861.65,595.75
2025-05-22 17:13:50,85.0,26.38,6.0206,1867.67,566.95
2025-05-22 17:13:51,84.0,25.63,5.8416,1873.52,550.83
2025-05-22 17:13:53,83.0,27.86,6.3827,1879.9,598.76
2025-05-22 17:13:54,83.0,27.72,6.3627,1886.26,595.75
2025-05-22 17:13:55,83.0,24.11,5.5027,1891.76,518.17
2025-05-22 17:13:56,82.0,27.13,6.1751,1897.94,583.07
2025-05-22 17:13:57,82.0,25.61,5.841,1903.78,550.4
2025-05-22 17:13:58,82.0,23.52,5.3621,1909.14,505.49
2025-05-22 17:13:59,81.0,12.86,2.9322,1912.07,276.38
2025-05-22 17:14:00,79.0,15.36,3.505,1915.58,330.11
2025-05-22 17:14:01,78.0,18.36,4.1844,1919.76,394.59
2025-05-22 17:14:02,78.0,22.990000000000002,5.2417,1925.01,494.09
2025-05-22 17:14:03,77.0,24.86,5.6683,1930.67,534.28
2025-05-22 17:14:04,77.0,24.47,5.5797,1936.25,525.9
2025-05-22 17:14:06,77.0,24.63,5.6168,1941.87,529.34
2025-05-22 17:14:07,76.0,22.02,5.0211,1946.89,473.25
2025-05-22 17:14:08,76.0,27.41,6.2515,1953.14,589.09
2025-05-22 17:14:09,76.0,22.490000000000002,5.1269,1958.27,483.35
2025-05-22 17:14:10,75.0,21.38,4.873,1963.14,459.49
2025-05-22 17:14:11,75.0,22.490000000000002,5.1889,1968.33,483.35
2025-05-22 17:14:12,75.0,23.36,5.3521,1973.68,502.05
2025-05-22 17:14:13,74.0,25.55,5.8258,1979.51,549.11
2025-05-22 17:14:14,74.0,26.41,6.0275,1985.54,567.6
2025-05-22 17:14:15,74.0,30.8,7.023,1992.56,661.94
2025-05-22 17:14:16,74.0,36.49,8.3152,2000.88,784.23
2025-05-22 17:14:17,75.0,36.99,8.4402,2009.32,794.98
2025-05-22 17:14:19,75.0,36.08,8.222,2017.54,775.42
2025-05-22 17:14:20,76.0,36.27,8.2714,2025.81,779.5
2025-05-22 17:14:21,76.0,33.160000000000004,7.5636,2033.37,712.67
2025-05-22 17:14:22,76.0,33.410000000000004,7.6165,2040.99,718.04
2025-05-22 17:14:23,76.0,33.8,7.7081,2048.7,726.42
2025-05-22 17:14:24,76.0,33.97,7.74,2056.44,730.07
2025-05-22 17:14:25,76.0,32.72,7.4672,2063.9,703.21
2025-05-22 17:14:26,75.0,34.38,7.8288,2071.73,738.89
2025-05-22 17:14:27,76.0,34.08,7.7856,2079.52,732.44
2025-05-22 17:14:28,76.0,37.550000000000004,8.5466,2088.07,807.01
2025-05-22 17:14:29,75.0,17.240000000000002,3.9328,2092.0,370.52
2025-05-22 17:14:30,74.0,30.86,7.0408,2099.04,663.23
2025-05-22 17:14:31,74.0,32.52,7.4072,2106.45,698.91
