timestamp,SPEED(km/h),MAF(g/s),CO2(g),CO2 ´©Àû(g),PPM/sec
2025-06-18 18:16:26,0.0,10.8,0,0.0,0
2025-06-18 18:16:27,0.0,11.3,2.5951,2.6,20238.03
2025-06-18 18:16:28,0.0,11.16,2.543,5.14,19987.3
2025-06-18 18:16:29,0.0,11.02,2.5135,7.65,19736.56
2025-06-18 18:16:30,0.0,10.58,2.412,10.06,18948.53
2025-06-18 18:16:32,0.0,10.55,2.406,12.47,18894.8
2025-06-18 18:16:33,0.0,11.44,2.6213,15.09,20488.77
2025-06-18 18:16:34,0.0,11.11,2.5333,17.62,19897.75
2025-06-18 18:16:35,0.0,11.08,2.5284,20.15,19844.02
2025-06-18 18:16:36,0.0,10.94,2.4932,22.65,19593.28
2025-06-18 18:16:37,0.0,11.19,2.5514,25.2,20041.02
2025-06-18 18:16:38,0.0,10.88,2.5457,27.74,19485.82
2025-06-18 18:16:39,0.0,11.05,2.5241,30.27,19790.29
2025-06-18 18:16:40,0.0,10.99,2.5062,32.77,19682.83
2025-06-18 18:16:41,0.0,10.88,2.4814,35.25,19485.82
2025-06-18 18:16:42,0.0,11.13,2.5372,37.79,19933.57
2025-06-18 18:16:43,0.0,11.27,2.5692,40.36,20184.3
2025-06-18 18:16:45,0.0,10.77,2.4569,42.82,19288.81
2025-06-18 18:16:46,0.0,10.99,2.5049,45.32,19682.83
2025-06-18 18:16:47,0.0,11.36,2.5898,47.91,20345.49
2025-06-18 18:16:48,0.0,11.22,2.5583,50.47,20094.75
2025-06-18 18:16:49,0.0,10.99,2.5062,52.98,19682.83
2025-06-18 18:16:50,0.0,11.08,2.5285,55.51,19844.02
2025-06-18 18:16:51,0.0,10.66,2.4294,57.93,19091.81
2025-06-18 18:16:52,0.0,11.3,2.5765,60.51,20238.03
2025-06-18 18:16:53,0.0,10.97,2.5014,63.01,19647.01
2025-06-18 18:16:54,0.0,11.19,2.5502,65.56,20041.02
2025-06-18 18:16:55,0.0,11.08,2.5281,68.09,19844.02
2025-06-18 18:16:56,0.0,11.24,2.5629,70.65,20130.57
2025-06-18 18:16:57,0.0,11.13,2.5365,73.19,19933.57
2025-06-18 18:16:59,0.0,11.11,2.5342,75.72,19897.75
2025-06-18 18:17:00,0.0,11.13,2.5381,78.26,19933.57
2025-06-18 18:17:01,0.0,11.3,2.6387,80.9,20238.03
2025-06-18 18:17:02,0.0,11.02,2.522,83.42,19736.56
2025-06-18 18:17:03,0.0,11.24,2.5621,85.99,20130.57
2025-06-18 18:17:04,0.0,11.24,2.5636,88.55,20130.57
2025-06-18 18:17:05,0.0,10.8,2.4627,91.01,19342.54
2025-06-18 18:17:06,0.0,11.36,2.5896,93.6,20345.49
2025-06-18 18:17:07,0.0,10.88,2.4819,96.08,19485.82
2025-06-18 18:17:08,0.0,11.08,2.5263,98.61,19844.02
2025-06-18 18:17:09,0.0,11.24,2.5614,101.17,20130.57
2025-06-18 18:17:10,0.0,11.08,2.5271,103.7,19844.02
2025-06-18 18:17:12,0.0,11.27,2.5703,106.27,20184.3
2025-06-18 18:17:13,0.0,11.02,2.5118,108.78,19736.56
2025-06-18 18:17:14,0.0,10.88,2.4813,111.26,19485.82
2025-06-18 18:17:15,0.0,11.13,2.5374,113.8,19933.57
2025-06-18 18:17:16,0.0,11.24,2.5638,116.36,20130.57
2025-06-18 18:17:17,0.0,10.52,2.397,118.76,18841.07
2025-06-18 18:17:18,0.0,11.02,2.5133,121.27,19736.56
2025-06-18 18:17:19,0.0,11.16,2.5466,123.82,19987.3
2025-06-18 18:17:20,0.0,11.05,2.5179,126.34,19790.29
2025-06-18 18:17:21,0.0,10.8,2.4636,128.8,19342.54
2025-06-18 18:17:22,0.0,10.97,2.5009,131.3,19647.01
2025-06-18 18:17:23,0.0,10.86,2.4767,133.78,19450.0
2025-06-18 18:17:25,0.0,11.11,2.5329,136.31,19897.75
2025-06-18 18:17:26,0.0,10.91,2.4868,138.8,19539.55
2025-06-18 18:17:27,0.0,10.94,2.5099,141.31,19593.28
2025-06-18 18:17:28,0.0,11.22,2.544,143.85,20094.75
2025-06-18 18:17:29,0.0,11.13,2.5371,146.39,19933.57
2025-06-18 18:17:30,0.0,11.11,2.5354,148.92,19897.75
2025-06-18 18:17:31,0.0,10.83,2.4673,151.39,19396.27
2025-06-18 18:17:32,0.0,11.24,2.6376,154.03,20130.57
2025-06-18 18:17:33,0.0,10.83,2.4809,156.51,19396.27
2025-06-18 18:17:34,0.0,10.88,2.4799,158.99,19485.82
2025-06-18 18:17:35,0.0,10.83,2.4696,161.46,19396.27
2025-06-18 18:17:36,0.0,10.88,2.4665,163.93,19485.82
2025-06-18 18:17:38,0.0,10.97,2.5023,166.43,19647.01
2025-06-18 18:17:39,0.0,11.11,2.5333,168.96,19897.75
2025-06-18 18:17:40,0.0,11.47,2.6152,171.58,20542.5
2025-06-18 18:17:41,0.0,11.05,2.5191,174.1,19790.29
2025-06-18 18:17:42,0.0,11.13,2.5389,176.64,19933.57
2025-06-18 18:17:43,0.0,11.33,2.5828,179.22,20291.76
2025-06-18 18:17:44,0.0,10.69,2.4507,181.67,19145.54
2025-06-18 18:17:45,0.0,11.16,2.5455,184.21,19987.3
2025-06-18 18:17:46,0.0,11.27,2.5696,186.78,20184.3
2025-06-18 18:17:47,0.0,11.3,2.576,189.36,20238.03
