timestamp,SPEED(km/h),MAF(g/s),CO2(g),CO2 stack(g),PPM/sec
2025-07-22 12:34:16,0,12.11,0,0,0
2025-07-22 12:34:17,0,11.99,2.7352,2.74,16105.35
2025-07-22 12:34:18,0,11.72,2.6844,5.42,15742.68
2025-07-22 12:34:19,0,11.8,2.692,8.11,15850.14
2025-07-22 12:34:20,0,11.41,2.6011,10.71,15326.28
2025-07-22 12:34:21,0,12.05,2.7469,13.46,16185.95
2025-07-22 12:34:22,0,11.8,2.6901,16.15,15850.14
2025-07-22 12:34:23,0,11.8,2.6916,18.84,15850.14
2025-07-22 12:34:24,0,12.08,2.7544,21.6,16226.25
2025-07-22 12:34:25,0,11.94,2.723,24.32,16038.19
2025-07-22 12:34:26,0,11.97,2.7286,27.05,16078.49
2025-07-22 12:34:27,0,11.83,2.6993,29.75,15890.44
2025-07-22 12:34:29,0,11.91,2.7445,32.49,15997.9
2025-07-22 12:34:30,0,11.91,2.7148,35.21,15997.9
2025-07-22 12:34:31,0,11.74,2.6783,37.88,15769.55
2025-07-22 12:34:32,0,11.63,2.6512,40.54,15621.79
2025-07-22 12:34:33,0,12.08,2.755,43.29,16226.25
2025-07-22 12:34:34,0,12.13,2.7652,46.06,16293.41
2025-07-22 12:34:35,0,12.02,2.7397,48.8,16145.65
2025-07-22 12:34:36,0,12.05,2.7479,51.54,16185.95
2025-07-22 12:34:37,0,12.02,2.7409,54.28,16145.65
2025-07-22 12:34:38,0,12.16,2.773,57.06,16333.7
2025-07-22 12:34:39,0,12.08,2.7399,59.8,16226.25
2025-07-22 12:34:40,0,12.11,2.7758,62.57,16266.54
2025-07-22 12:34:42,0,11.77,2.6697,65.24,15809.84
2025-07-22 12:34:43,0,12.33,2.8109,68.05,16562.05
2025-07-22 12:34:44,0,11.99,2.7492,70.8,16105.35
2025-07-22 12:34:45,0,11.63,2.6361,73.44,15621.79
2025-07-22 12:34:46,0,11.97,2.7304,76.17,16078.49
2025-07-22 12:34:47,0,11.83,2.7271,78.9,15890.44
2025-07-22 12:34:48,0,12.13,2.7661,81.66,16293.41
2025-07-22 12:34:49,0,12.05,2.7491,84.41,16185.95
2025-07-22 12:34:50,0,12.13,2.7642,87.18,16293.41
2025-07-22 12:34:51,0,12.19,2.7799,89.96,16374
2025-07-22 12:34:52,0,12.05,2.7482,92.7,16185.95
2025-07-22 12:34:53,0,11.91,2.7156,95.42,15997.9
2025-07-22 12:34:54,0,12.08,2.7553,98.17,16226.25
2025-07-22 12:34:56,0,11.63,2.6505,100.83,15621.79
2025-07-22 12:34:57,0,11.88,2.7387,103.56,15957.6
2025-07-22 12:34:58,0,11.41,2.6024,106.17,15326.28
2025-07-22 12:34:59,0,12.19,2.7792,108.95,16374
2025-07-22 12:35:00,0,11.58,2.6422,111.59,15554.63
2025-07-22 12:35:01,0,11.61,2.6461,114.23,15594.93
2025-07-22 12:35:02,0,11.94,2.7226,116.96,16038.19
2025-07-22 12:35:03,0,11.94,2.7226,119.68,16038.19
2025-07-22 12:35:04,0,12.22,2.8011,122.48,16414.3
2025-07-22 12:35:05,0,11.99,2.734,125.21,16105.35
2025-07-22 12:35:06,0,11.86,2.7047,127.92,15930.73
2025-07-22 12:35:07,0,11.36,2.5899,130.51,15259.12
2025-07-22 12:35:09,0,12.05,2.7478,133.26,16185.95
2025-07-22 12:35:10,0,12.05,2.7472,136,16185.95
2025-07-22 12:35:11,0,12.02,2.7421,138.75,16145.65
2025-07-22 12:35:12,0,11.91,2.7156,141.46,15997.9
2025-07-22 12:35:13,0,11.91,2.7152,144.18,15997.9
2025-07-22 12:35:14,0,12.13,2.7667,146.94,16293.41
2025-07-22 12:35:15,0,11.94,2.7215,149.67,16038.19
2025-07-22 12:35:16,0,11.94,2.7227,152.39,16038.19
2025-07-22 12:35:35,0,11.66,0,0,0
2025-07-22 12:35:36,0,11.97,2.7546,2.75,18375.42
2025-07-22 12:35:37,0,12.19,2.7935,5.55,18713.14
2025-07-22 12:35:38,0,11.72,2.6729,8.22,17991.64
2025-07-22 12:35:39,0,11.77,2.6844,10.91,18068.39
2025-07-22 12:35:41,0,11.83,2.6967,13.6,18160.5
2025-07-22 12:35:42,0,11.55,2.6344,16.24,17730.67
2025-07-22 12:35:43,0,11.58,2.6402,18.88,17776.72
