timestamp,RPM,SPEED,MAF
2025-04-15 15:34:19,1805.5,22,31.77
2025-04-15 15:34:21,1919,29,31.99
2025-04-15 15:34:24,1535,33,26.94
2025-04-15 15:34:26,1562.5,34,15.69
2025-04-15 15:34:28,1448.5,31,11.97
2025-04-15 15:34:30,1408.5,30,13.22
2025-04-15 15:34:33,1402.5,30,16.38
2025-04-15 15:34:35,1450,31,17.47
2025-04-15 15:34:37,1493,32,17.99
2025-04-15 15:34:40,1512.5,33,14.77
2025-04-15 15:34:42,1497,32,13.27
2025-04-15 15:34:44,1480.5,32,15.49
2025-04-15 15:34:46,1509,32,18.94
2025-04-15 15:34:49,1545,33,18.19
2025-04-15 15:34:51,1586,34,18.88
2025-04-15 15:34:53,1590,34,17.27
2025-04-15 15:34:56,1599,35,18.02
2025-04-15 15:34:58,1523,34,20.05
2025-04-15 15:35:00,1341.5,30,10.88
2025-04-15 15:35:02,1346.5,28,11.74
2025-04-15 15:35:05,1328.5,28,12.61
2025-04-15 15:35:07,1397,30,16.86
2025-04-15 15:35:09,1497.5,32,16.13
2025-04-15 15:35:12,1546,34,13.66
2025-04-15 15:35:14,1527.5,33,13.16
2025-04-15 15:35:16,1210,33,10.13
2025-04-15 15:35:19,1414.5,31,13.08
2025-04-15 15:35:21,1365.5,30,11.69
2025-04-15 15:35:23,1365,31,11.88
2025-04-15 15:35:25,1346.5,31,11.38
2025-04-15 15:35:28,1334,30,11.24
2025-04-15 15:35:30,1358.5,30,11.72
2025-04-15 15:35:32,1375.5,31,11.99
2025-04-15 15:35:35,1387,32,11.99
2025-04-15 15:35:37,1384,31,12.16
2025-04-15 15:35:39,1366.5,31,11.58
2025-04-15 15:35:42,1317,30,11.22
2025-04-15 15:35:44,1377.5,30,13.72
2025-04-15 15:35:46,1453,31,12.97
2025-04-15 15:35:49,1494.5,32,13.38
2025-04-15 15:35:51,1524.5,33,13.52
2025-04-15 15:35:53,1526.5,33,13.86
2025-04-15 15:35:55,1469.5,32,12.72
2025-04-15 15:35:58,1420,30,11.83
2025-04-15 15:36:00,1370.5,29,13.11
2025-04-15 15:36:02,1350.5,29,13.55
2025-04-15 15:36:05,1339.5,28,17.11
2025-04-15 15:36:07,1377,29,21.11
2025-04-15 15:36:09,1441.5,31,22.63
2025-04-15 15:36:12,1489,32,22.61
2025-04-15 15:36:14,1504,33,18.38
2025-04-15 15:36:16,1465,31,15.91
2025-04-15 15:36:19,1427,31,15.3
2025-04-15 15:36:21,1392.5,30,15.55
2025-04-15 15:36:23,1379.5,29,16.63
2025-04-15 15:36:25,1384,29,22.13
2025-04-15 15:36:28,1462,31,22.77
2025-04-15 15:36:30,1528.5,33,22.91
2025-04-15 15:36:32,1507,33,16.97
2025-04-15 15:36:35,1460.5,31,16.94
2025-04-15 15:36:37,1432,30,17.63
2025-04-15 15:36:39,1428,30,19.13
2025-04-15 15:36:42,1437,31,18.88
2025-04-15 15:36:44,1451,31,19.72
2025-04-15 15:36:46,1467,31,22.47
2025-04-15 15:36:48,1479,32,20.66
2025-04-15 15:36:51,1497,32,20.36
2025-04-15 15:36:53,1526,33,20.8
