timestamp,RPM,SPEED,MAF
2025-04-11 18:44,790.5 revolutions_per_minute,0.0 kilometer_per_hour,12.86 gps
2025-04-11 18:44,784.0 revolutions_per_minute,0.0 kilometer_per_hour,12.33 gps
2025-04-11 18:44,886.0 revolutions_per_minute,2.0 kilometer_per_hour,15.55 gps
2025-04-11 18:44,1461.5 revolutions_per_minute,10.0 kilometer_per_hour,22.080000000000002 gps
2025-04-11 18:44,1556.5 revolutions_per_minute,16.0 kilometer_per_hour,22.69 gps
2025-04-11 18:44,931.5 revolutions_per_minute,18.0 kilometer_per_hour,6.55 gps
2025-04-11 18:44,768.5 revolutions_per_minute,10.0 kilometer_per_hour,6.61 gps
2025-04-11 18:44,787.0 revolutions_per_minute,9.0 kilometer_per_hour,6.58 gps
2025-04-11 18:44,785.5 revolutions_per_minute,8.0 kilometer_per_hour,7.33 gps
2025-04-11 18:44,1011.0 revolutions_per_minute,7.0 kilometer_per_hour,9.86 gps
2025-04-11 18:44,1448.5 revolutions_per_minute,11.0 kilometer_per_hour,20.69 gps
2025-04-11 18:44,1546.0 revolutions_per_minute,16.0 kilometer_per_hour,22.63 gps
2025-04-11 18:44,861.5 revolutions_per_minute,18.0 kilometer_per_hour,11.83 gps
2025-04-11 18:44,776.0 revolutions_per_minute,13.0 kilometer_per_hour,6.05 gps
2025-04-11 18:44,1008.0 revolutions_per_minute,12.0 kilometer_per_hour,21.080000000000002 gps
2025-04-11 18:44,1346.0 revolutions_per_minute,14.0 kilometer_per_hour,14.91 gps
2025-04-11 18:44,1621.5 revolutions_per_minute,17.0 kilometer_per_hour,28.47 gps
2025-04-11 18:44,1715.5 revolutions_per_minute,22.0 kilometer_per_hour,20.88 gps
2025-04-11 18:44,1450.5 revolutions_per_minute,22.0 kilometer_per_hour,12.24 gps
2025-04-11 18:44,764.5 revolutions_per_minute,11.0 kilometer_per_hour,6.83 gps
2025-04-11 18:44,796.0 revolutions_per_minute,8.0 kilometer_per_hour,6.74 gps
2025-04-11 18:44,787.0 revolutions_per_minute,9.0 kilometer_per_hour,7.33 gps
2025-04-11 18:44,1470.0 revolutions_per_minute,11.0 kilometer_per_hour,20.05 gps
2025-04-11 18:45,1444.5 revolutions_per_minute,17.0 kilometer_per_hour,18.830000000000002 gps
2025-04-11 18:45,1758.0 revolutions_per_minute,23.0 kilometer_per_hour,24.38 gps
2025-04-11 18:45,1877.0 revolutions_per_minute,28.0 kilometer_per_hour,20.19 gps
2025-04-11 18:45,786.0 revolutions_per_minute,29.0 kilometer_per_hour,5.63 gps
2025-04-11 18:45,1409.5 revolutions_per_minute,29.0 kilometer_per_hour,12.66 gps
2025-04-11 18:45,1322.5 revolutions_per_minute,30.0 kilometer_per_hour,12.66 gps
2025-04-11 18:45,783.0 revolutions_per_minute,29.0 kilometer_per_hour,6.11 gps
2025-04-11 18:45,789.5 revolutions_per_minute,24.0 kilometer_per_hour,6.3 gps
2025-04-11 18:45,778.0 revolutions_per_minute,19.0 kilometer_per_hour,6.97 gps
2025-04-11 18:45,769.5 revolutions_per_minute,13.0 kilometer_per_hour,6.66 gps
2025-04-11 18:45,800.0 revolutions_per_minute,13.0 kilometer_per_hour,6.91 gps
2025-04-11 18:45,848.0 revolutions_per_minute,15.0 kilometer_per_hour,9.02 gps
2025-04-11 18:45,1377.5 revolutions_per_minute,19.0 kilometer_per_hour,16.27 gps
2025-04-11 18:45,1496.5 revolutions_per_minute,24.0 kilometer_per_hour,19.41 gps
2025-04-11 18:45,1590.5 revolutions_per_minute,28.0 kilometer_per_hour,23.36 gps
2025-04-11 18:45,1502.5 revolutions_per_minute,33.0 kilometer_per_hour,18.580000000000002 gps
2025-04-11 18:45,1378.0 revolutions_per_minute,33.0 kilometer_per_hour,12.8 gps
2025-04-11 18:45,1409.0 revolutions_per_minute,31.0 kilometer_per_hour,13.8 gps
2025-04-11 18:45,784.5 revolutions_per_minute,30.0 kilometer_per_hour,6.49 gps
2025-04-11 18:45,783.0 revolutions_per_minute,26.0 kilometer_per_hour,6.33 gps
2025-04-11 18:45,790.5 revolutions_per_minute,25.0 kilometer_per_hour,6.36 gps
2025-04-11 18:45,783.5 revolutions_per_minute,21.0 kilometer_per_hour,6.58 gps
2025-04-11 18:45,745.5 revolutions_per_minute,13.0 kilometer_per_hour,6.72 gps
2025-04-11 18:45,782.5 revolutions_per_minute,3.0 kilometer_per_hour,6.8 gps
