timestamp,RPM,SPEED,THROTTLE_POS,ENGINE_LOAD,COOLANT_TEMP,INTAKE_TEMP,MAF
2025-04-15 15:23:16,863.5 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,33.72549019607843 percent,48 degree_Celsius,24 degree_Celsius,15.69 gps
2025-04-15 15:23:19,860.5 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,33.333333333333336 percent,48 degree_Celsius,24 degree_Celsius,15.22 gps
2025-04-15 15:23:21,858.0 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,36.470588235294116 percent,48 degree_Celsius,24 degree_Celsius,15.63 gps
2025-04-15 15:23:23,866.5 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,39.6078431372549 percent,48 degree_Celsius,24 degree_Celsius,15.44 gps
2025-04-15 15:23:42,852.5 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,40.0 percent,49 degree_Celsius,24 degree_Celsius,15.41 gps
2025-04-15 15:23:44,856.0 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,40.0 percent,49 degree_Celsius,24 degree_Celsius,15.24 gps
2025-04-15 15:23:47,856.0 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,39.21568627450981 percent,49 degree_Celsius,24 degree_Celsius,15.41 gps
2025-04-15 15:23:49,849.5 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,40.3921568627451 percent,49 degree_Celsius,24 degree_Celsius,15.52 gps
2025-04-15 15:23:51,857.5 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,40.3921568627451 percent,49 degree_Celsius,24 degree_Celsius,15.27 gps
2025-04-15 15:23:54,850.0 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,40.0 percent,49 degree_Celsius,24 degree_Celsius,15.27 gps
2025-04-15 15:23:56,854.0 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,40.3921568627451 percent,49 degree_Celsius,24 degree_Celsius,14.77 gps
2025-04-15 15:23:58,849.5 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,41.1764705882353 percent,49 degree_Celsius,24 degree_Celsius,14.97 gps
2025-04-15 15:24:01,847.0 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,40.0 percent,50 degree_Celsius,24 degree_Celsius,15.41 gps
2025-04-15 15:24:03,845.5 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,40.0 percent,50 degree_Celsius,24 degree_Celsius,15.24 gps
2025-04-15 15:24:05,851.5 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,41.1764705882353 percent,50 degree_Celsius,24 degree_Celsius,15.22 gps
2025-04-15 15:24:08,845.0 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,38.8235294117647 percent,50 degree_Celsius,25 degree_Celsius,15.33 gps
2025-04-15 15:24:10,847.5 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,39.6078431372549 percent,50 degree_Celsius,25 degree_Celsius,14.72 gps
2025-04-15 15:24:12,849.5 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,32.94117647058823 percent,50 degree_Celsius,25 degree_Celsius,14.99 gps
2025-04-15 15:24:14,846.0 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,32.549019607843135 percent,50 degree_Celsius,25 degree_Celsius,15.27 gps
2025-04-15 15:24:17,845.5 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,32.94117647058823 percent,50 degree_Celsius,25 degree_Celsius,14.97 gps
2025-04-15 15:24:19,846.0 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,33.333333333333336 percent,50 degree_Celsius,25 degree_Celsius,15.13 gps
2025-04-15 15:24:21,845.0 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,36.07843137254902 percent,51 degree_Celsius,25 degree_Celsius,15.24 gps
2025-04-15 15:24:24,845.0 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,36.470588235294116 percent,51 degree_Celsius,25 degree_Celsius,15.19 gps
2025-04-15 15:24:26,844.0 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,36.470588235294116 percent,51 degree_Celsius,25 degree_Celsius,14.83 gps
2025-04-15 15:24:28,841.5 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,36.86274509803921 percent,51 degree_Celsius,25 degree_Celsius,14.94 gps
2025-04-15 15:24:31,839.5 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,37.64705882352941 percent,51 degree_Celsius,25 degree_Celsius,14.72 gps
2025-04-15 15:24:33,841.0 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,37.254901960784316 percent,51 degree_Celsius,25 degree_Celsius,14.94 gps
2025-04-15 15:24:35,841.0 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,37.64705882352941 percent,51 degree_Celsius,25 degree_Celsius,15.11 gps
2025-04-15 15:24:37,839.5 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,37.64705882352941 percent,51 degree_Celsius,25 degree_Celsius,15.08 gps
2025-04-15 15:24:40,841.5 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,38.03921568627451 percent,51 degree_Celsius,25 degree_Celsius,14.94 gps
2025-04-15 15:24:42,841.5 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,38.431372549019606 percent,51 degree_Celsius,25 degree_Celsius,15.05 gps
2025-04-15 15:24:44,829.0 revolutions_per_minute,0.0 kilometer_per_hour,0.0 percent,36.86274509803921 percent,52 degree_Celsius,25 degree_Celsius,13.94 gps
2025-04-15 15:24:47,842.0 revolutions_per_minute,1.0 kilometer_per_hour,0.0 percent,43.529411764705884 percent,52 degree_Celsius,25 degree_Celsius,14.77 gps
2025-04-15 15:24:49,838.5 revolutions_per_minute,2.0 kilometer_per_hour,0.0 percent,44.31372549019608 percent,52 degree_Celsius,25 degree_Celsius,14.91 gps
2025-04-15 15:24:51,840.0 revolutions_per_minute,4.0 kilometer_per_hour,0.0 percent,41.1764705882353 percent,52 degree_Celsius,25 degree_Celsius,14.94 gps
